KEY,NUCLIDE,METHOD,< VALUE_Bq/m³,VALUE_Bq/m³,ERROR%_m³,DATE_OF_ENTRY
"WSTUK1993020","CS137","STUK01",,92.09999999999999,4,
"WSTUK1993020","K40","STUK01",,2800,4,
"WSTUK1993021","CS134","STUK01",,3.05,17,
"WSTUK1993021","CS137","STUK01",,65.7,4,
"WSTUK1993021","K40","STUK01",,1780,4,
"WSTUK1993022","CS134","STUK01",,5.39,7,
"WSTUK1993022","CS137","STUK01",,97.09999999999999,3,
"WSTUK1993022","K40","STUK01",,2650,4,
"WSTUK1993023","CS134","STUK01",,4.89,16,
"WSTUK1993023","CS137","STUK01",,86.2,4,
"WSTUK1993023","K40","STUK01",,2400,4,
"WSTUK1993023","SR90","STUK02",,17.9,10,
"WSTUK1993024","CS134","STUK01",,4.1,13,
"WSTUK1993024","CS137","STUK01",,83.7,4,
"WSTUK1993024","K40","STUK01",,3200,4,
"WSTUK1993024","SR90","STUK02",,16.6,10,
"WSTUK1993025","CS134","STUK01",,6.18,13,
"WSTUK1993025","CS137","STUK01",,89.40000000000001,4,
"WSTUK1993025","K40","STUK01",,2500,4,
"WSTUK1993025","SR90","STUK02",,10,10,
"WSTUK1993026","CS134","STUK01",,4,11,
"WSTUK1993026","CS137","STUK01",,64.90000000000001,4,
"WSTUK1993026","K40","STUK01",,3610,4,
"WSTUK1993026","SR90","STUK02",,15.3,10,
"WSTUK1993027","CS134","STUK01",,6.42,11,
"WSTUK1993027","CS137","STUK01",,90.09999999999999,4,
"WSTUK1993027","K40","STUK01",,2600,4,
"WSTUK1993027","SR90","STUK02",,16.3,10,
"WSTUK1993028","CS134","STUK01",,2.81,17,
"WSTUK1993028","CS137","STUK01",,70.2,4,
"WSTUK1993028","K40","STUK01",,4130,4,
"WSTUK1993028","SR90","STUK02",,8.800000000000001,10,
"WSTUK1994001","CS134","STUK01",,1,25,
"WSTUK1994001","CS137","STUK01",,31,4,
"WSTUK1994001","K40","STUK01",,360,5,
"WSTUK1994002","CS134","STUK01",,2.9,13,
"WSTUK1994002","CS137","STUK01",,73,4,
"WSTUK1994002","K40","STUK01",,950,4,
"WSTUK1994002","SR90","STUK02",,10,10,
"WSTUK1994003","CS134","STUK01",,5.2,15,
"WSTUK1994003","CS137","STUK01",,110,4,
"WSTUK1994003","K40","STUK01",,1400,4,
"WSTUK1994003","SR90","STUK02",,14,10,
