KEY,NUCLIDE,METHOD,< VALUE_Bq/kg,VALUE_Bq/kg,ERROR%_kg,< VALUE_Bq/m²,VALUE_Bq/m²,ERROR%_m²,DATE_OF_ENTRY
"SKRIL2012196","RA226",,,28,25,,,,"08/20/14 00:00:00"
"SKRIL2012197","RA226",,,32,25,,,,"08/20/14 00:00:00"
"SKRIL2012198","RA226",,,31,26,,,,"08/20/14 00:00:00"
"SKRIL2012199","RA226",,,35,23,,,,"08/20/14 00:00:00"
"SKRIL2012202","RA226",,,40,20,,,,"08/20/14 00:00:00"
"SKRIL2012203","RA226",,,36,22,,,,"08/20/14 00:00:00"
"SKRIL2012012","CS137",,,180,22,,,,"08/20/14 00:00:00"
"SKRIL2012013","CS137",,,240,21,,,,"08/20/14 00:00:00"
"SKRIL2012014","CS137",,,300,20,,,,"08/20/14 00:00:00"
"SKRIL2012015","CS137",,,110,22,,,,"08/20/14 00:00:00"
"SKRIL2012016","CS137",,,3.3,39,,,,"08/20/14 00:00:00"
"SKRIL2012017","CS137",,,2,35,,,,"08/20/14 00:00:00"
"SKRIL2012018","CS137",,,1.7,53,,,,"08/20/14 00:00:00"
"SKRIL2012019","CS137",,,2.3,39,,,,"08/20/14 00:00:00"
"SKRIL2012020","CS137",,"<",1,,,,,"08/20/14 00:00:00"
"SKRIL2012021","CS137",,"<",1,,,,,"08/20/14 00:00:00"
"SKRIL2012022","CS137",,"<",1,,,,,"08/20/14 00:00:00"
"SKRIL2012023","CS137",,,310,20,,,,"08/20/14 00:00:00"
"SKRIL2012024","CS137",,,320,20,,,,"08/20/14 00:00:00"
"SKRIL2012025","CS137",,,360,20,,,,"08/20/14 00:00:00"
"SKRIL2012026","CS137",,,56,23,,,,"08/20/14 00:00:00"
"SKRIL2012027","CS137",,,91,21,,,,"08/20/14 00:00:00"
"SKRIL2012028","CS137",,,24,21,,,,"08/20/14 00:00:00"
"SKRIL2012029","CS137",,,5.9,51,,,,"08/20/14 00:00:00"
"SKRIL2012030","CS137",,"<",3,,,,,"08/20/14 00:00:00"
"SKRIL2012031","CS137",,"<",3,,,,,"08/20/14 00:00:00"
"SKRIL2012032","CS137",,"<",2,,,,,"08/20/14 00:00:00"
"SKRIL2012033","CS137",,"<",4,,,,,"08/20/14 00:00:00"
"SKRIL2012034","CS137",,"<",4,,,,,"08/20/14 00:00:00"
"SKRIL2012035","CS137",,,140,21,,,,"08/20/14 00:00:00"
"SKRIL2012036","CS137",,,82,21,,,,"08/20/14 00:00:00"
"SKRIL2012037","CS137",,,31,23,,,,"08/20/14 00:00:00"
"SKRIL2012038","CS137",,,6.8,26,,,,"08/20/14 00:00:00"
"SKRIL2012039","CS137",,"<",1,,,,,"08/20/14 00:00:00"
"SKRIL2012040","CS137",,"<",1,,,,,"08/20/14 00:00:00"
"SKRIL2012041","CS137",,"<",1,,,,,"08/20/14 00:00:00"
"SKRIL2012042","CS137",,,290,21,,,,"08/20/14 00:00:00"
"SKRIL2012043","CS137",,,300,17,,,,"08/20/14 00:00:00"
"SKRIL2012044","CS137",,,280,21,,,,"08/20/14 00:00:00"
"SKRIL2012045","CS137",,,160,19,,,,"08/20/14 00:00:00"
"SKRIL2012046","CS137",,,37,19,,,,"08/20/14 00:00:00"
"SKRIL2012047","CS137",,,7.8,24,,,,"08/20/14 00:00:00"
"SKRIL2012048","CS137",,,3,33,,,,"08/20/14 00:00:00"
"SKRIL2012049","CS137",,"<",1,,,,,"08/20/14 00:00:00"
"SKRIL2012050","CS137",,,270,21,,,,"08/20/14 00:00:00"
"SKRIL2012051","CS137",,,420,20,,,,"08/20/14 00:00:00"
"SKRIL2012052","CS137",,,440,20,,,,"08/20/14 00:00:00"
"SKRIL2012053","CS137",,,740,22,,,,"08/20/14 00:00:00"
"SKRIL2012054","CS137",,,1800,15,,,,"08/20/14 00:00:00"
"SKRIL2012055","CS137",,,170,24,,,,"08/20/14 00:00:00"
"SKRIL2012056","CS137",,,68,19,,,,"08/20/14 00:00:00"
"SKRIL2012057","CS137",,,26,23,,,,"08/20/14 00:00:00"
"SKRIL2012058","CS137",,,6.4,28,,,,"08/20/14 00:00:00"
"SKRIL2012059","CS137",,,3.7,32,,,,"08/20/14 00:00:00"
"SKRIL2012060","CS137",,,2,35,,,,"08/20/14 00:00:00"
"SKRIL2012061","CS137",,"<",2,,,,,"08/20/14 00:00:00"
"SKRIL2012062","CS137",,"<",1,,,,,"08/20/14 00:00:00"
"SKRIL2012063","CS137",,,7.8,21,,,,"08/20/14 00:00:00"
"SKRIL2012064","CS137",,"<",1,,,,,"08/20/14 00:00:00"
"SKRIL2012065","CS137",,,410,20,,,,"08/20/14 00:00:00"
"SKRIL2012066","CS137",,,550,22,,,,"08/20/14 00:00:00"
"SKRIL2012067","CS137",,,660,20,,,,"08/20/14 00:00:00"
"SKRIL2012068","CS137",,,890,20,,,,"08/20/14 00:00:00"
"SKRIL2012069","CS137",,,1100,15,,,,"08/20/14 00:00:00"
"SKRIL2012070","CS137",,,170,21,,,,"08/20/14 00:00:00"
"SKRIL2012071","CS137",,,27,22,,,,"08/20/14 00:00:00"
"SKRIL2012072","CS137",,,1.4,50,,,,"08/20/14 00:00:00"
"SKRIL2012073","CS137",,,2.9,45,,,,"08/20/14 00:00:00"
"SKRIL2012074","CS137",,,1.3,54,,,,"08/20/14 00:00:00"
"SKRIL2012075","CS137",,,1.2,50,,,,"08/20/14 00:00:00"
"SKRIL2012076","CS137",,,1.4,50,,,,"08/20/14 00:00:00"
"SKRIL2012077","CS137",,"<",1,,,,,"08/20/14 00:00:00"
"SKRIL2012080","CS137",,,41,22,,,,"08/20/14 00:00:00"
"SKRIL2012081","CS137",,,23,22,,,,"08/20/14 00:00:00"
"SKRIL2012082","CS137",,,9.199999999999999,21,,,,"08/20/14 00:00:00"
"SKRIL2012083","CS137",,,4.4,20,,,,"08/20/14 00:00:00"
"SKRIL2012084","CS137",,,2.7,33,,,,"08/20/14 00:00:00"
"SKRIL2012085","CS137",,,1000,20,,,,"08/20/14 00:00:00"
"SKRIL2012086","CS137",,,1700,24,,,,"08/20/14 00:00:00"
"SKRIL2012087","CS137",,,880,20,,,,"08/20/14 00:00:00"
"SKRIL2012088","CS137",,,350,20,,,,"08/20/14 00:00:00"
"SKRIL2012089","CS137",,,200,20,,,,"08/20/14 00:00:00"
"SKRIL2012090","CS137",,,61,21,,,,"08/20/14 00:00:00"
"SKRIL2012091","CS137",,,2.7,26,,,,"08/20/14 00:00:00"
"SKRIL2012092","CS137",,"<",2,,,,,"08/20/14 00:00:00"
"SKRIL2012093","CS137",,"<",2,,,,,"08/20/14 00:00:00"
"SKRIL2012094","CS137",,"<",1,,,,,"08/20/14 00:00:00"
"SKRIL2012095","CS137",,"<",1,,,,,"08/20/14 00:00:00"
"SKRIL2012096","CS137",,,32,22,,,,"08/20/14 00:00:00"
"SKRIL2012097","CS137",,,370,22,,,,"08/20/14 00:00:00"
"SKRIL2012098","CS137",,,190,21,,,,"08/20/14 00:00:00"
"SKRIL2012099","CS137",,,100,20,,,,"08/20/14 00:00:00"
"SKRIL2012100","CS137",,,130,22,,,,"08/20/14 00:00:00"
"SKRIL2012101","CS137",,,86,22,,,,"08/20/14 00:00:00"
"SKRIL2012102","CS137",,,23,26,,,,"08/20/14 00:00:00"
"SKRIL2012103","CS137",,"<",2,,,,,"08/20/14 00:00:00"
"SKRIL2012104","CS137",,"<",1,,,,,"08/20/14 00:00:00"
"SKRIL2012105","CS137",,"<",1,,,,,"08/20/14 00:00:00"
"SKRIL2012106","CS137",,"<",1,,,,,"08/20/14 00:00:00"
"SKRIL2012107","CS137",,"<",1,,,,,"08/20/14 00:00:00"
"SKRIL2012110","CS137",,,370,22,,,,"08/20/14 00:00:00"
"SKRIL2012111","CS137",,,510,22,,,,"08/20/14 00:00:00"
"SKRIL2012112","CS137",,,570,21,,,,"08/20/14 00:00:00"
"SKRIL2012113","CS137",,,650,20,,,,"08/20/14 00:00:00"
"SKRIL2012114","CS137",,,820,21,,,,"08/20/14 00:00:00"
"SKRIL2012115","CS137",,,1900,21,,,,"08/20/14 00:00:00"
"SKRIL2012166","CS137",,,4.2,24,,,,"08/20/14 00:00:00"
"SKRIL2012167","CS137",,,2.4,33,,,,"08/20/14 00:00:00"
"SKRIL2012168","CS137",,,2,35,,,,"08/20/14 00:00:00"
"SKRIL2012169","CS137",,"<",1,,,,,"08/20/14 00:00:00"
"SKRIL2012170","CS137",,"<",3,,,,,"08/20/14 00:00:00"
"SKRIL2012171","CS137",,,57,21,,,,"08/20/14 00:00:00"
"SKRIL2012172","CS137",,,56,21,,,,"08/20/14 00:00:00"
"SKRIL2012173","CS137",,,76,21,,,,"08/20/14 00:00:00"
"SKRIL2012174","CS137",,,96,21,,,,"08/20/14 00:00:00"
"SKRIL2012175","CS137",,,110,21,,,,"08/20/14 00:00:00"
"SKRIL2012176","CS137",,,72,21,,,,"08/20/14 00:00:00"
"SKRIL2012177","CS137",,,800,20,,,,"08/20/14 00:00:00"
"SKRIL2012178","CS137",,,1300,23,,,,"08/20/14 00:00:00"
"SKRIL2012179","CS137",,,1000,20,,,,"08/20/14 00:00:00"
"SKRIL2012180","CS137",,,200,20,,,,"08/20/14 00:00:00"
"SKRIL2012181","CS137",,,76,20,,,,"08/20/14 00:00:00"
"SKRIL2012182","CS137",,,5.4,43,,,,"08/20/14 00:00:00"
"SKRIL2012183","CS137",,,5.2,50,,,,"08/20/14 00:00:00"
"SKRIL2012184","CS137",,,4.7,36,,,,"08/20/14 00:00:00"
"SKRIL2012185","CS137",,,12,25,,,,"08/20/14 00:00:00"
"SKRIL2012186","CS137",,,7.4,30,,,,"08/20/14 00:00:00"
"SKRIL2012187","CS137",,"<",4,,,,,"08/20/14 00:00:00"
"SKRIL2012188","CS137",,,350,20,,,,"08/20/14 00:00:00"
"SKRIL2012189","CS137",,,310,19,,,,"08/20/14 00:00:00"
"SKRIL2012190","CS137",,,250,20,,,,"08/20/14 00:00:00"
"SKRIL2012191","CS137",,,150,20,,,,"08/20/14 00:00:00"
"SKRIL2012192","CS137",,,94,20,,,,"08/20/14 00:00:00"
"SKRIL2012193","CS137",,,14,21,,,,"08/20/14 00:00:00"
"SKRIL2012194","CS137",,,5.5,36,,,,"08/20/14 00:00:00"
"SKRIL2012195","CS137",,"<",3,,,,,"08/20/14 00:00:00"
"SKRIL2012196","CS137",,"<",2,,,,,"08/20/14 00:00:00"
"SKRIL2012197","CS137",,"<",4,,,,,"08/20/14 00:00:00"
"SKRIL2012198","CS137",,"<",2,,,,,"08/20/14 00:00:00"
"SKRIL2012199","CS137",,"<",2,,,,,"08/20/14 00:00:00"
"SKRIL2012202","CS137",,,68,21,,,,"08/20/14 00:00:00"
"SKRIL2012203","CS137",,,110,27,,,,"08/20/14 00:00:00"
"SKRIL2012204","CS137",,,150,20,,,,"08/20/14 00:00:00"
"SKRIL2012205","CS137",,,76,21,,,,"08/20/14 00:00:00"
"SKRIL2012206","CS137",,,42,21,,,,"08/20/14 00:00:00"
"SKRIL2012207","CS137",,,20,20,,,,"08/20/14 00:00:00"
"SKRIL2012208","CS137",,,2.9,28,,,,"08/20/14 00:00:00"
"SKRIL2012209","CS137",,"<",1,,,,,"08/20/14 00:00:00"
"SKRIL2012210","CS137",,"<",1,,,,,"08/20/14 00:00:00"
"SKRIL2012211","CS137",,,64,20,,,,"08/20/14 00:00:00"
"SKRIL2012212","CS137",,,31,29,,,,"08/20/14 00:00:00"
"SKRIL2012213","CS137",,,12,50,,,,"08/20/14 00:00:00"
"SKRIL2012214","CS137",,,15,47,,,,"08/20/14 00:00:00"
"SKRIL2012215","CS137",,,10,50,,,,"08/20/14 00:00:00"
"SKRIL2012216","CS137",,"<",4,,,,,"08/20/14 00:00:00"
"SKRIL2012217","CS137",,"<",3,,,,,"08/20/14 00:00:00"
